#{"t_start": 1734419833.1969223, "env_id": "CustomLunarLander-v3"}
r,l,t
-296.48049,144,1.78572
-354.772124,130,2.958896
-237.690017,95,3.787555
-83.220424,138,5.04337
-79.955315,103,6.038514
-350.019034,123,7.16624
-215.465476,96,8.060398
-355.732396,107,9.06506
-339.186224,114,10.136736
-139.065549,136,11.346395
-267.119447,137,12.607605
-256.299465,134,14.00691
-268.49292,143,15.462587
-85.74888,73,16.182713
-393.058364,100,17.204576
-117.041578,73,17.920161
-321.445162,73,18.62826
-407.686389,105,19.556852
-224.519579,100,20.465475
-234.378067,134,21.64965
-184.863167,101,22.534266
-273.13183,159,23.956464
-189.889805,139,25.182316
-271.855147,119,26.231494
-252.643651,209,28.06825
-8.936778,88,28.847861
-144.444153,57,29.346446
-479.604124,224,31.34003
-148.382299,92,32.152169
-151.2413,101,33.038281
-158.428159,372,36.298794
-157.263623,168,37.776526
-96.163703,104,38.69664
-284.922431,190,40.389407
-87.813465,113,41.381546
-255.937477,206,43.239344
-122.120081,133,44.449532
-69.506319,134,45.647186
-260.848803,239,47.768995
-412.829231,158,49.176825
-341.959799,329,52.10762
-600.44883,259,54.403942
-99.656394,176,55.972644
-236.312368,296,58.606882
-87.162309,216,60.531758
-96.94697,169,62.022506
-110.474357,110,63.011652
-318.242829,212,64.884939
-292.312683,285,67.424293
9.959478,126,68.513972
-124.217612,99,69.368105
-105.603446,147,70.677801
-156.080882,167,72.153027
-270.716875,149,73.484737
-119.45881,92,74.299856
-379.014613,452,78.280958
-305.556445,153,79.621326
-324.049348,363,82.876959
-253.305663,253,85.111433
-293.583716,143,86.380607
-183.613442,391,89.878093
-84.996425,181,91.490846
-163.263495,128,92.630523
-258.262623,178,94.216762
-118.820272,281,96.704752
-97.831594,153,98.038436
-97.14115,142,99.289125
-330.989136,321,102.133649
-320.994168,96,102.97326
-182.003421,76,103.640021
-247.551445,189,105.313756
-154.202327,65,105.875828
-110.93704,177,107.434585
-113.951981,190,109.139321
-135.156702,115,110.154479
-169.408196,110,111.147618
-101.600381,153,112.481301
-216.785287,236,114.551656
-192.840551,233,116.601459
-310.794548,214,118.505374
-265.215058,274,120.950469
-137.593599,96,121.81208
-174.994232,94,122.662719
-264.587826,182,124.295946
-547.090012,233,126.396788
-244.680005,144,127.645954
-58.274922,144,128.906633
-144.095345,87,129.67074
-57.983983,99,130.559378
-292.175231,120,131.615526
-264.557822,81,132.341619
-45.678856,89,133.112238
-240.49524,346,136.227691
-44.378142,161,137.700545
-101.939853,104,138.620178
-351.067025,133,139.797892
-234.157895,175,141.377624
-144.910332,84,142.133732
-256.204238,121,143.200898
-234.991107,232,145.271704
-194.606097,84,146.017806
-225.347415,262,148.327606
-230.286933,240,150.476119
-88.485764,155,151.853321
-205.024447,129,152.991982
-218.74682,152,154.355687
-252.919195,195,156.097991
-183.124995,156,157.466682
-152.907616,194,159.156441
-240.293318,251,161.343776
-185.168079,240,163.493546
-255.352892,185,165.150928
-288.736487,207,166.978184
-356.547779,296,169.625565
-115.616574,193,171.338291
-515.375966,96,172.189901
-169.345799,163,173.637759
-113.123852,139,174.864967
-37.377966,178,176.466192
-72.202784,201,178.247476
-195.704235,207,180.092753
-165.359725,103,180.987393
-22.936484,159,182.381603
-167.480481,105,183.329727
-197.611435,115,184.360876
-356.225929,101,185.287545
-174.211788,260,187.591894
-259.750706,175,189.134644
-298.755146,259,191.423492
-245.510155,112,192.408124
-229.534033,372,195.702653
-186.739549,490,200.083113
-223.966453,322,202.943004
-187.417048,102,203.859781
-493.279623,177,205.399518
-249.560517,338,208.410465
-394.21495,130,209.546929
-22.939399,240,211.643768
-178.382743,109,212.618929
-340.277347,234,214.694279
-222.896463,157,216.075475
-82.93736,127,217.211141
-347.285386,142,218.466327
-250.064668,371,221.767821
-235.746776,280,224.249811
-256.988444,383,227.682809
-47.699976,242,229.786366
67.005949,1000,238.72311
-154.349548,229,240.769885
-210.06962,298,243.36674
-236.868484,480,247.586135
-308.811177,151,248.918474
181.347991,633,254.490906
-83.633967,209,256.367208
-79.756537,210,258.253761
-147.231517,232,260.382093
-117.905202,107,261.318256
22.916618,248,263.515603
82.857672,139,264.765307
-370.778436,250,266.982603
-405.259281,407,270.606875
-323.542441,274,273.041755
17.484274,246,275.22208
-528.312555,231,277.252851
-37.66353,286,279.79973
-239.454756,414,283.477256
139.204786,901,291.441443
-14.393576,276,293.896777
-122.0565,198,295.652574
-150.309559,338,298.640974
-259.586236,504,303.118487
-231.418572,370,306.387063
-50.021955,273,308.837414
-231.097405,344,311.917367
-262.21492,151,313.266229
-36.3664,219,315.175523
-191.891999,151,316.527708
-41.418777,241,318.65183
-201.599533,147,319.955576
-194.320153,387,323.389096
-268.791853,419,327.066301
-127.418089,260,329.361814
-53.561005,199,331.120575
-85.588794,342,334.154884
-240.396977,342,337.17203
-75.014581,77,337.849647
-232.351206,499,342.288729
-101.718351,239,344.412674
-120.252715,362,347.623609
-84.499636,197,349.357541
-69.445667,231,351.405328
19.696004,150,352.742549
-291.54942,271,355.132415
-26.901429,583,360.288858
-44.337642,139,361.507063
-254.65645,248,363.659874
-234.841954,303,366.36128
277.392659,214,368.266045
7.926574,178,369.865299
-194.894373,286,372.394682
-41.820843,307,375.157261
-283.000316,381,378.495742
-73.589676,389,381.955364
-61.636164,245,384.110677
-138.112745,320,386.940797
-49.923214,319,389.750702
-81.683455,357,392.933161
40.82618,198,394.700424
198.895417,406,398.288002
7.598515,237,400.373301
55.709529,123,401.45446
-93.373834,250,403.63626
-16.118986,217,405.52906
-66.068306,157,406.901748
-13.802031,162,408.302947
-42.886732,207,410.112187
-19.601422,188,411.789944
-60.937241,208,413.627207
-4.037292,226,415.634494
-110.708751,237,417.678282
297.315549,272,420.103657
-183.576692,255,422.355975
214.961381,425,426.139823
-91.527789,180,427.724078
-7.971313,248,429.909371
-60.940527,469,434.000635
-156.404073,309,436.719046
38.114974,286,439.238927
-5.864988,314,441.997337
-3.95513,224,444.015607
-165.554288,113,445.025259
-202.890532,157,446.42813
-36.930717,372,449.68814
-71.122099,242,451.820918
-273.452312,353,454.911954
-332.019474,527,459.539877
-58.804123,422,463.270458
-23.355847,380,466.625575
20.950255,244,468.785896
-225.260324,685,474.769782
243.7449,646,480.506137
-85.502368,358,483.674104
-44.745466,178,485.230814
-83.145374,319,488.058282
