#{"t_start": 1734429533.7552483, "env_id": "CustomLunarLander-v3"}
r,l,t
-488.806193,154,1.394562
-2534.171797,198,2.721271
-796.488698,66,3.169332
-652.102609,86,3.749451
-286.43586,286,5.606237
-579.392928,106,6.311866
-420.113487,264,8.00399
-402.96691,220,9.410205
-563.053088,177,10.55741
-210.496712,162,11.598082
-115.215164,287,13.45889
-166.521861,260,15.136654
-244.328577,321,17.207167
-165.943392,190,18.426836
97.880574,712,23.026054
-253.436464,207,24.369743
-0.845956,136,25.246081
-441.586741,243,26.797841
-86.30619,193,28.051023
-247.288011,241,29.612232
-331.37674,240,31.174758
-326.944798,201,32.485492
-330.630885,237,34.011209
-184.62544,280,35.800468
-40.944362,269,37.534689
-361.353207,217,38.915901
-365.539333,86,39.479475
-301.980995,184,40.640152
-173.10541,154,41.660825
-348.100778,170,42.735969
-494.687132,95,43.36208
-197.055804,237,44.879816
-82.90492,89,45.468905
-241.136077,188,46.665603
-86.424808,175,47.802778
5.995388,97,48.429872
20.838642,86,48.986957
19.879012,175,50.095622
-154.272582,60,50.491671
-129.985561,118,51.251285
-139.778128,55,51.601341
-134.136639,147,52.535996
-57.539566,140,53.463624
-5.8836,137,54.343253
-350.362887,113,55.082361
-304.503707,197,56.374541
-69.945191,74,56.84664
-202.160336,156,57.849287
-325.213614,173,58.998952
-31.426564,86,59.549546
-178.704206,74,60.016108
-84.608065,84,60.572329
-297.593577,130,61.43646
-65.899785,113,62.171081
-58.587161,61,62.567131
-58.581285,73,63.037705
-142.594751,172,64.155349
28.11881,192,65.384539
-5.878556,180,66.522747
-424.499587,176,67.658823
0.591559,143,68.588952
8.117361,119,69.334564
-23.955518,125,70.154224
-34.47964,109,70.84932
-19.813283,98,71.48692
-195.987015,174,72.624097
-116.38309,61,73.021156
-191.579304,173,74.106783
-47.951423,200,75.410452
-14.26071,97,76.029576
-107.320521,55,76.372108
-357.870421,203,77.666791
-7.564843,80,78.189369
-79.998124,216,79.589597
-355.080741,187,80.790267
-31.13181,130,81.62738
18.675107,293,83.526504
-210.90203,802,88.655441
-101.076051,78,89.154193
-58.8179,155,90.138839
-32.861611,236,91.671552
-32.763105,133,92.555197
-109.178135,59,92.937251
-127.200612,133,93.817886
-131.922058,143,94.745026
-25.288154,125,95.598161
-55.732224,213,96.999375
-70.835283,145,97.969044
-40.446057,92,98.582126
-83.378406,167,99.652786
-115.7028,58,100.013841
-272.176285,173,101.121515
8.114262,90,101.737614
-170.445627,156,102.759755
-1.842849,95,103.363351
-178.853723,170,104.462041
-210.789241,179,105.614713
-137.634568,147,106.561352
-91.886969,70,107.025442
-71.954256,168,108.12759
-184.696072,126,108.939708
-44.856346,125,109.755315
8.787372,180,110.923481
172.279648,400,113.503407
-183.023514,153,114.516562
-371.355875,178,115.690336
-234.455854,341,117.877672
-413.321137,227,119.350085
-30.566209,138,120.270692
-21.148067,234,121.78791
-55.380559,98,122.400009
-68.932334,162,123.434157
227.228128,323,125.531958
-40.593377,84,126.070033
-182.237765,168,127.153229
-418.539343,231,128.622962
-196.95209,138,129.571995
-223.453216,101,130.232118
-569.007103,213,131.616721
-186.525517,207,132.953472
-23.149544,99,133.591066
-438.456552,192,134.81376
-13.438611,103,135.490349
-12.70082,160,136.5185
-165.019774,232,138.03157
-225.057271,820,143.303353
-8.251415,136,144.165495
-395.994752,148,145.130649
-31.462751,127,145.957269
-43.581944,133,146.829421
64.023625,107,147.513525
-68.53926,79,148.027596
-81.506183,86,148.60919
-11.577407,111,149.31041
-164.019095,111,150.026008
-85.343483,159,151.075173
208.198093,209,152.451377
-126.795463,130,153.287657
-89.560696,110,153.977872
-11.866256,121,154.756526
8.531144,126,155.55967
-28.050787,105,156.257585
-81.999414,141,157.152935
-24.345668,123,157.948084
-37.367235,112,158.672181
-142.143149,108,159.370266
-14.621303,127,160.204923
-223.97538,136,161.087034
-35.667808,124,161.913176
-179.72915,135,162.785304
-90.899914,102,163.432408
64.551957,142,164.334057
-212.354106,130,165.188158
-130.899124,90,165.761259
10.676761,104,166.429859
-100.42454,120,167.223
-24.088939,101,167.87708
-70.274289,142,168.797725
-28.156744,116,169.566355
25.260897,91,170.161947
-21.062761,127,171.006067
-9.64792,133,171.879699
-295.456114,128,172.700337
219.822085,255,174.356106
-38.840223,116,175.084698
-25.096805,156,176.098354
-4.870772,99,176.723966
52.383088,129,177.58711
-88.51502,125,178.407753
-34.274595,164,179.473889
-40.447597,109,180.173477
-190.339071,150,181.147627
-218.361073,164,182.235781
-14.512396,108,182.928732
-474.555473,153,183.910868
7.925758,123,184.7095
-33.863472,104,185.369083
-15.575852,130,186.228727
-43.506074,125,187.053877
0.555663,117,187.7915
-17.62371,122,188.580141
-26.805233,115,189.334263
-116.78699,120,190.100699
29.333036,97,190.728796
12.975365,119,191.516401
-55.315073,180,192.684728
-22.70098,128,193.51536
-110.327766,54,193.858519
-27.157148,106,194.527139
-14.444895,96,195.147208
-103.053595,105,195.815818
44.527905,104,196.485348
-53.065406,68,196.942415
5.437259,133,197.811536
-13.902315,92,198.383116
-157.168259,136,199.25573
-223.73972,152,200.226872
-274.793647,165,201.258035
-5.549803,126,202.073221
-11.701383,108,202.76633
-73.324434,78,203.286898
-161.105708,148,204.248032
-35.352498,123,205.033632
-31.293821,132,205.889868
-57.575285,187,207.10324
-33.953576,120,207.865869
25.036984,81,208.381941
-62.294297,65,208.791994
-27.694996,107,209.489114
1.009907,114,210.214732
-20.790508,121,210.990339
35.0504,168,212.086496
-195.349863,153,213.075152
-67.278982,152,214.058301
28.471641,102,214.733915
1.611634,133,215.601022
-99.275419,196,216.895744
